"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5,490
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5,491
7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5,492
6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5,494
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,495
6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5,497
6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5,498
6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,499
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5,500
6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5,502
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5,503
6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5,504
7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5,506
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5,507
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5,508
7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5,509
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5,510
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,512
8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5,513
7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,515
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,516
8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5,517
7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5,519
6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5,520
6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,5,521
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,522
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,523
6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5,529
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5,530
7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5,532
5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,533
8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5,534
5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,535
9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5,538
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5,540
9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,544
7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5,547
7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5,548
9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5,550
6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5,552
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5,554
6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5,555
6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5,556
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5,558
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,559
6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5,560
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5,563
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,564
6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,5,565
7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,567
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,568
8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,5,569
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5,572
8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5,573
6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5,575
7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,577
10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5,578
5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,581
7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5,582
7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,5,586
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,587
7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5,589
8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5,592
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5,593
9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5,595
6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5,598
8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5,600
7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5,603
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,604
7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,605
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5,606
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5,607
7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5,609
9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5,611
5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5,612
6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5,613
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5,614
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5,616
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5,617
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,618
6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5,619
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5,620
6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5,622
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5,623
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5,624
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5,625
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5,626
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5,627
6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5,628
6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,630
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5,631
7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5,632
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5,633
7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,5,635
8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,5,636
6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5,637
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,638
8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5,641
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,642
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,643
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5,645
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,649
7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5,651
6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,5,654
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5,655
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5,658
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5,659
9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,5,660
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5,662
6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5,665
8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5,666
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5,667
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5,668
6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5,669
7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5,671
5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,5,677
6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,5,679
6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5,684
7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5,685
7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5,686
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5,687
6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6,5,690
6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,5,691
8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5,693
7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5,694
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,695
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,696
8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5,703
9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,706
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5,708
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,709
6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5,710
6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5,712
6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5,713
8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5,714
9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5,716
6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5,717
6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5,719
7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5,720
9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,5,721
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,722
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5,723
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5,725
7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5,726
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5,727
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5,729
8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,5,730
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,732
7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5,733
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,734
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5,735
8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,5,736
8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,5,738
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5,740
7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5,742
6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5,743
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,744
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,745
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,746
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5,747
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5,749
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5,751
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,752
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5,754
6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,5,756
7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5,758
6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,759
7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5,760
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,761
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,762
7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5,763
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5,765
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5,766
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,769
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5,770
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5,771
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5,773
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5,774
6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5,775
6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,776
5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,777
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5,778
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,779
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,780
6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5,781
7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5,782
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5,783
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,5,787
7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5,788
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5,789
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5,790
6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5,791
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5,793
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,795
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5,796
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5,797
6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5,798
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5,799
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5,800
8,0.43,0.4,12.4,0.168,29,190,0.9991,3.07,0.64,9.2,5,801
7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,5,802
6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5,803
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,805
7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5,806
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5,807
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,812
8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5,814
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5,815
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,817
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,818
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,819
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,820
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,821
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,5,825
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5,826
6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5,830
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5,831
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5,833
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5,835
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5,839
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5,840
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5,841
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5,842
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,844
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5,845
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5,847
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5,848
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5,849
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5,852
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,853
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,854
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,855
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5,856
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,857
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5,859
6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5,860
9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5,864
6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5,865
7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5,866
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5,869
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,872
7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5,873
6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5,874
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,875
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5,877
8.4,0.22,0.28,18.8,0.028,55,130,0.998,2.96,0.35,11.6,5,878
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5,879
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,881
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,883
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5,886
6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5,887
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,888
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,890
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,894
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5,896
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5,897
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5,899
7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5,901
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5,903
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,904
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,906
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5,907
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5,908
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5,909
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,912
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,916
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,917
9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,5,918
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5,919
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,921
6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5,925
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5,926
6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5,930
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5,931
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5,933
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5,937
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,939
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,940
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5,941
7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5,942
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5,944
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5,946
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5,947
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5,949
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5,952
6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5,953
8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5,954
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,955
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5,957
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5,959
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5,960
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5,962
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5,963
8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5,964
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5,967
8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,968
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5,969
6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5,970
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5,972
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5,973
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5,974
6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5,976
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5,980
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5,982
6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5,985
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5,986
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5,987
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5,990
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5,991
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5,994
7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5,997
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5,999
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5,1001
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5,1005
