"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5,863
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5,867
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5,868
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,870
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,871
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,876
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5,880
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5,882
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5,884
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5,885
9.2,0.23,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5,889
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,891
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5,892
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,893
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5,895
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5,898
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5,900
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5,902
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,905
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,910
7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5,911
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5,913
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5,914
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5,915
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5,920
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,922
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,923
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,924
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,927
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5,928
6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,5,929
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,932
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,934
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5,935
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5,936
6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5,938
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5,943
6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5,945
6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5,948
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5,950
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5,951
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5,956
7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5,958
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5,961
9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5,965
6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5,966
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5,971
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5,975
6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,5,977
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5,978
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5,979
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,981
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,983
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5,984
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5,988
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5,989
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5,992
6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5,993
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5,995
6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5,996
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5,998
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5,1000
6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5,1002
6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5,1003
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5,1004
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5,1010
7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5,1012
8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5,1013
7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5,1014
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5,1017
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5,1020
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5,1021
7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5,1022
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5,1023
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5,1026
6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5,1027
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5,1028
7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5,1032
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5,1035
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5,1036
7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4,5,1037
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5,1041
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5,1042
6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5,1043
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,1045
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5,1046
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5,1055
8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5,1060
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5,1062
6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3,5,1063
6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5,1065
6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5,1066
6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5,1068
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,1070
7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5,1072
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,1074
6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5,1083
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5,1085
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,1088
5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,5,1089
6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5,1090
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,1093
6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5,1095
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,1096
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5,1097
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5,1098
6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4,5,1099
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5,1103
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5,1104
7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5,1108
7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5,1109
6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,5,1112
6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5,1113
7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5,1115
6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,5,1116
7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5,1121
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5,1123
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5,1127
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,1132
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,1135
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5,1144
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5,1147
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5,1152
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5,1159
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,5,1163
6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,5,1165
6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5,1166
7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5,1168
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,1170
7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5,5,1171
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,1176
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,1178
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,1179
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,1186
7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,5,1188
5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5,1191
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,1192
5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5,1193
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5,1200
6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,5,1203
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,5,1205
6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,5,1206
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,1209
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5,1214
7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,1215
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5,1222
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,1227
6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,5,1234
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,1236
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5,1237
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5,1241
8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5,1243
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5,1246
7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,5,1248
6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5,1250
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5,1252
8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10,5,1255
6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,1257
6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5,1259
5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5,1260
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5,1266
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5,1272
6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5,1277
6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5,1287
6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5,1288
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5,1290
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5,1293
7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5,1294
6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,5,1299
6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,5,1300
6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5,1301
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,1302
6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,5,1303
7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,5,1304
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5,1307
7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,5,1310
5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,1312
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,1314
5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,1315
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,1316
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,1317
6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,5,1319
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,1320
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,1321
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,1322
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,1323
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,1327
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5,1332
6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5,1333
5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,5,1334
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,1339
7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5,1345
7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,5,1346
6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5,5,1349
5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,5,1350
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5,1352
6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5,1353
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,1354
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5,1360
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5,1362
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5,1364
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,1373
6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,5,1374
7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,5,1375
6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5,1380
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5,1382
6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5,1383
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5,1384
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,1388
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5,1391
7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5,1392
7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5,1394
6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5,1395
6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,5,1396
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5,1399
6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5,1405
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5,1410
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5,1413
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,1419
6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9,5,1422
8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5,1426
6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5,1428
5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5,1430
6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5,1433
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5,1437
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5,1438
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,1442
6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,5,1445
7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5,1446
7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5,1447
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5,1454
6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5,1455
6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5,1457
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,1460
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5,1471
5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5,1472
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5,1473
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,1476
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,1479
7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5,1486
7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,5,1487
6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5,1488
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,1489
7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5,1490
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,1494
6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333333,5,1499
6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,5,1502
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,5,1504
7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,5,1505
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,1517
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,1520
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333333,5,1521
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5,1523
5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5,1524
5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333333,5,1525
6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,5,1526
6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,5,1528
8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5,1529
6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5,1533
6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5,1534
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5,1540
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5,1541
5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9,5,1542
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,1543
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,1544
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5,1549
6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5,1551
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5,1553
5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5,1554
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5,1557
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5,1562
8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1,5,1566
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1568
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1571
6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6,5,1572
6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5,1578
6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,5,1579
5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,5,1580
5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,5,1581
7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5,1583
7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5,1584
6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,5,1585
8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,5,1586
6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3,5,1589
6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,5,1592
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5,1595
6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5,1600
6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5,1604
7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,5,1605
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,1607
6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,5,1611
5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7,5,1612
5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,5,1613
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,1614
6,0.32,0.3,7.3,0.174,46,159,0.99519,3.18,0.49,9.4,5,1616
5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5,1617
5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5,1619
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5,1623
6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5,1628
6.2,0.23,0.38,1.6,0.044,12,113,0.99176,3.3,0.73,11.4,5,1630
6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,5,1634
5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,5,1635
5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5,1636
6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6,5,1637
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,1641
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,1646
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,1655
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,1656
